"YEAR_MO","YEAR","MONTH","REPORTER_CODE","REPORTER_TXT","FLOW","PARTNER_CODE","PARTNER_TXT","CMD_CODE","CMD_TXT","NET_WGT","PRIM_VALUE"
"2011-03-01","2011","3","CZE","Czechia","Export","POL","Poland","080810","Fruit, edible; apples, fresh",60900,41829.012
"2011-03-01","2011","3","CZE","Czechia","Export","DEU","Germany","080810","Fruit, edible; apples, fresh",691800,368621.668
"2011-03-01","2011","3","CZE","Czechia","Export","SVK","Slovakia","080810","Fruit, edible; apples, fresh",1179300,1289811.864
"2011-03-01","2011","3","CZE","Czechia","Export","SVK","Slovakia","0808","Apples, pears and quinces; fresh",0,1494533.24
"2011-03-01","2011","3","CZE","Czechia","Export","W00","World","0808","Apples, pears and quinces; fresh",0,2227016.916
"2011-04-01","2011","4","CZE","Czechia","Import","FRA","France","0808","Apples, pears and quinces; fresh",131100,169014.726
"2011-04-01","2011","4","CZE","Czechia","Import","BEL","Belgium","0808","Apples, pears and quinces; fresh",769100,680218.2
"2011-04-01","2011","4","CZE","Czechia","Import","NLD","Netherlands","0808","Apples, pears and quinces; fresh",1394700,1467466.062
"2011-04-01","2011","4","CZE","Czechia","Import","ITA","Italy","0808","Apples, pears and quinces; fresh",4133800,3758429.406
"2011-04-01","2011","4","CZE","Czechia","Import","AUT","Austria","0808","Apples, pears and quinces; fresh",389100,432581.226
"2011-04-01","2011","4","CZE","Czechia","Import","SVK","Slovakia","0808","Apples, pears and quinces; fresh",970800,995862.552
"2011-04-01","2011","4","CZE","Czechia","Import","POL","Poland","0808","Apples, pears and quinces; fresh",144800,103996.842
"2011-04-01","2011","4","CZE","Czechia","Import","W00","World","0808","Apples, pears and quinces; fresh",9259600,8834099.19
"2011-04-01","2011","4","CZE","Czechia","Import","W00","World","080810","Fruit, edible; apples, fresh",7740000,7176229.8
"2011-04-01","2011","4","CZE","Czechia","Import","BEL","Belgium","080810","Fruit, edible; apples, fresh",417800,398180.382
"2011-04-01","2011","4","CZE","Czechia","Import","NLD","Netherlands","080810","Fruit, edible; apples, fresh",815600,837087.204
"2011-04-01","2011","4","CZE","Czechia","Import","ITA","Italy","080810","Fruit, edible; apples, fresh",3829300,3412500.18
"2011-04-01","2011","4","CZE","Czechia","Import","AUT","Austria","080810","Fruit, edible; apples, fresh",376900,417864.828
"2011-04-01","2011","4","CZE","Czechia","Import","POL","Poland","080810","Fruit, edible; apples, fresh",144800,103996.842
"2011-04-01","2011","4","CZE","Czechia","Import","SVK","Slovakia","080810","Fruit, edible; apples, fresh",966200,989710.26
"2011-04-01","2011","4","CZE","Czechia","Import","DEU","Germany","080810","Fruit, edible; apples, fresh",1189400,1016890.104
"2011-04-01","2011","4","CZE","Czechia","Import","DEU","Germany","0808","Apples, pears and quinces; fresh",1326200,1226530.176
"2011-04-01","2011","4","CZE","Czechia","Export","W00","World","080810","Fruit, edible; apples, fresh",1217900,1409900.25
"2011-04-01","2011","4","CZE","Czechia","Export","DEU","Germany","0808","Apples, pears and quinces; fresh",92000,63573.684
"2011-04-01","2011","4","CZE","Czechia","Export","POL","Poland","0808","Apples, pears and quinces; fresh",1400,1140.918
"2011-04-01","2011","4","CZE","Czechia","Export","ITA","Italy","0808","Apples, pears and quinces; fresh",2500,6672.204
"2011-04-01","2011","4","CZE","Czechia","Export","HUN","Hungary","0808","Apples, pears and quinces; fresh",1100,1588.62
"2011-04-01","2011","4","CZE","Czechia","Export","ROU","Romania","0808","Apples, pears and quinces; fresh",7000,11048.13
"2011-04-01","2011","4","CZE","Czechia","Export","ITA","Italy","080810","Fruit, edible; apples, fresh",2500,6672.204
"2011-04-01","2011","4","CZE","Czechia","Export","DEU","Germany","080810","Fruit, edible; apples, fresh",92000,63573.684
"2011-04-01","2011","4","CZE","Czechia","Export","SVK","Slovakia","080810","Fruit, edible; apples, fresh",1123100,1339452.174
"2011-04-01","2011","4","CZE","Czechia","Export","POL","Poland","080810","Fruit, edible; apples, fresh",300,202.188
"2011-04-01","2011","4","CZE","Czechia","Export","SVK","Slovakia","0808","Apples, pears and quinces; fresh",0,1532137.338
"2011-04-01","2011","4","CZE","Czechia","Export","W00","World","0808","Apples, pears and quinces; fresh",0,1616218.662
"2011-04-01","2011","4","CZE","Czechia","Export","AUT","Austria","0808","Apples, pears and quinces; fresh",0,57.768
"2011-05-01","2011","5","CZE","Czechia","Import","FRA","France","0808","Apples, pears and quinces; fresh",251100,258918.594
"2011-05-01","2011","5","CZE","Czechia","Import","BEL","Belgium","0808","Apples, pears and quinces; fresh",537500,503561.227
"2011-05-01","2011","5","CZE","Czechia","Import","NLD","Netherlands","0808","Apples, pears and quinces; fresh",900200,980536.166
"2011-05-01","2011","5","CZE","Czechia","Import","ITA","Italy","0808","Apples, pears and quinces; fresh",4599300,4399277.426
"2011-05-01","2011","5","CZE","Czechia","Import","AUT","Austria","0808","Apples, pears and quinces; fresh",343900,389654.837
"2011-05-01","2011","5","CZE","Czechia","Import","SVK","Slovakia","0808","Apples, pears and quinces; fresh",1592900,1593685.125
"2011-05-01","2011","5","CZE","Czechia","Import","POL","Poland","0808","Apples, pears and quinces; fresh",73700,64894.647
"2011-05-01","2011","5","CZE","Czechia","Import","W00","World","080810","Fruit, edible; apples, fresh",8661300,8536881.5
"2011-05-01","2011","5","CZE","Czechia","Import","W00","World","0808","Apples, pears and quinces; fresh",10457300,10571801.443
"2011-05-01","2011","5","CZE","Czechia","Import","BEL","Belgium","080810","Fruit, edible; apples, fresh",273300,282075.782
"2011-05-01","2011","5","CZE","Czechia","Import","FRA","France","080810","Fruit, edible; apples, fresh",73300,60274.688
"2011-05-01","2011","5","CZE","Czechia","Import","NLD","Netherlands","080810","Fruit, edible; apples, fresh",429300,500462.124
"2011-05-01","2011","5","CZE","Czechia","Import","ITA","Italy","080810","Fruit, edible; apples, fresh",4279700,4033956.289
"2011-05-01","2011","5","CZE","Czechia","Import","AUT","Austria","080810","Fruit, edible; apples, fresh",310500,345248.705
"2011-05-01","2011","5","CZE","Czechia","Import","POL","Poland","080810","Fruit, edible; apples, fresh",73700,64894.647
"2011-05-01","2011","5","CZE","Czechia","Import","SVK","Slovakia","080810","Fruit, edible; apples, fresh",1551400,1543496.871
"2011-05-01","2011","5","CZE","Czechia","Import","DEU","Germany","080810","Fruit, edible; apples, fresh",1670100,1706472.395
"2011-05-01","2011","5","CZE","Czechia","Import","DEU","Germany","0808","Apples, pears and quinces; fresh",2158700,2381273.421
"2011-05-01","2011","5","CZE","Czechia","Export","W00","World","080810","Fruit, edible; apples, fresh",788000,900418.609
"2011-05-01","2011","5","CZE","Czechia","Export","DEU","Germany","0808","Apples, pears and quinces; fresh",150600,94120.912
"2011-05-01","2011","5","CZE","Czechia","Export","POL","Poland","0808","Apples, pears and quinces; fresh",2500,2883.888
"2011-05-01","2011","5","CZE","Czechia","Export","HUN","Hungary","0808","Apples, pears and quinces; fresh",5600,7848.192
"2011-05-01","2011","5","CZE","Czechia","Export","ITA","Italy","0808","Apples, pears and quinces; fresh",11900,6112.12
"2011-05-01","2011","5","CZE","Czechia","Export","ITA","Italy","080810","Fruit, edible; apples, fresh",11900,6112.12
"2011-05-01","2011","5","CZE","Czechia","Export","POL","Poland","080810","Fruit, edible; apples, fresh",2400,2740.411
