Číslo,Název odrůdy,Návrh názvu,Kód plodiny,Název plodiny,Latinský název plodiny
MAL11271,Redspring,Redspring,4071,Jabloň (plodová),Malus domestica Borkh.
MAL14319,Reluga,Reluga,4071,Jabloň (plodová),Malus domestica Borkh.
MAL20372,Ribstonské,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL33723,Richardovo žluté,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL09159,Rondo,Rondo,4071,Jabloň (plodová),Malus domestica Borkh.
MAL10864,Rosabel,Rosabel,4071,Jabloň (plodová),Malus domestica Borkh.
MAL13239,Royal Gala,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL08643,Rozela,Rozela,4071,Jabloň (plodová),Malus domestica Borkh.
MAL21195,Rubelit,Rubelit,4071,Jabloň (plodová),Malus domestica Borkh.
MAL03896,Rubimeg,Rubimeg,4071,Jabloň (plodová),Malus domestica Borkh.
MAL00369,Rubín,Rubín,4071,Jabloň (plodová),Malus domestica Borkh.
MAL27694,Rubín Spur,Rubín Spur,4071,Jabloň (plodová),Malus domestica Borkh.
MAL03891,Rubinstep,Rubinstep,4071,Jabloň (plodová),Malus domestica Borkh.
MAL05696,Rucla,Rucla,4071,Jabloň (plodová),Malus domestica Borkh.
MAL24524,Rumba,Rumba,4071,Jabloň (plodová),Malus domestica Borkh.
MAL13622,Rýnské,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL13623,Řehtáč soudkovitý,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL33722,Schmidtbergerovo,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL01145,Selena,Selena,4071,Jabloň (plodová),Malus domestica Borkh.
MAL23871,Semira,Semira,4071,Jabloň (plodová),Malus domestica Borkh.
MAL08140,Shalimar,Shalimar,4071,Jabloň (plodová),Malus domestica Borkh.
MAL13243,Signe Tillisch,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL13624,Sikulské,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL20085,Silesia,Silesia,4071,Jabloň (plodová),Malus domestica Borkh.
MAL08642,Sirius,Sirius,4071,Jabloň (plodová),Malus domestica Borkh.
MAL37835,Sissi,Sissi,4071,Jabloň (plodová),Malus domestica Borkh.
MAL33721,Skořicové letní,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL14315,Slendera,Slendera,4071,Jabloň (plodová),Malus domestica Borkh.
MAL21453,Slima,Slima,4071,Jabloň (plodová),Malus domestica Borkh.
MAL13246,Smiřické vzácné,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL33720,Snygold,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL33719,Solivarské,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL07120,Sonet,Sonet,4071,Jabloň (plodová),Malus domestica Borkh.
MAL33718,Soudek zlatý,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL00230,Spartan,Spartan,4071,Jabloň (plodová),Malus domestica Borkh.
MAL13715,Starcats,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL20360,Stružinské,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL13251,Strýmka,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL33717,Studničné,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL13253,Sudetská reneta,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL13718,Suncats,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL13255,Sunrise,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL24523,Swing,Swing,4071,Jabloň (plodová),Malus domestica Borkh.
MAL03902,Šampion Red,Šampion Red,4071,Jabloň (plodová),Malus domestica Borkh.
MAL33716,Šarlatka boračská,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL00267,Švýcarské oranžové,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL08735,Tábor,Tábor,4071,Jabloň (plodová),Malus domestica Borkh.
MAL28843,Telse,Telse,4071,Jabloň (plodová),Malus domestica Borkh.
MAL09220,Tolar,Tolar,4071,Jabloň (plodová),Malus domestica Borkh.
MAL23867,Tophola,Tophola,4071,Jabloň (plodová),Malus domestica Borkh.
MAL40459,UEB 0970/2,Cassiopeia,4071,Jabloň (plodová),Malus domestica Borkh.
MAL08139,UEB 32642,UEB 32642,4071,Jabloň (plodová),Malus domestica Borkh.
MAL38155,UEB 47021,UEB 47021,4071,Jabloň (plodová),Malus domestica Borkh.
MAL39739,UEB 4848/2,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL39740,UEB 4869/1,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL41622,UEB 5586/1,UEB 55861,4071,Jabloň (plodová),Malus domestica Borkh.
MAL36243,UEB 6481,UEB 6481,4071,Jabloň (plodová),Malus domestica Borkh.
MAL27512,UEB 6581,UEB 6581,4071,Jabloň (plodová),Malus domestica Borkh.
MAL20086,Unigold,Unigold,4071,Jabloň (plodová),Malus domestica Borkh.
MAL17749,Ušlechtilé žluté,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL33715,Valtod,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL33714,Vejlímek červený,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL13628,Vilémovo,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL33713,Virginské růžové,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL17739,Vlkovo,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL05846,Vltava,Vltava,4071,Jabloň (plodová),Malus domestica Borkh.
MAL33712,Vtelenské,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL05699,Vysočina,Vysočina,4071,Jabloň (plodová),Malus domestica Borkh.
MAL13270,Wagenerovo,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL13271,Watervlietské mramorované,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL13274,Wealthy,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL00292,Wealthy Double Red,Wealthy Double Red,4071,Jabloň (plodová),Malus domestica Borkh.
MAL20362,Wesenerovo,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL09221,Zlaťák,Zlaťák,4071,Jabloň (plodová),Malus domestica Borkh.
MAL33711,Žďárské červené,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL40387,336/6,Vanessa,4071,Jabloň (plodová),Malus domestica Borkh.
